iter	Passed	Remaining
0	70	106338
1	152	113900
2	223	111576
3	302	113185
4	382	114504
5	458	114070
6	538	114916
7	622	116032
8	703	116544
9	783	116779
10	860	116482
11	933	115766
12	1028	117625
13	1105	117293
14	1184	117294
15	1260	116918
16	1337	116649
17	1413	116406
18	1492	116325
19	1565	115858
20	1643	115764
21	1720	115613
22	1799	115586
23	1870	115064
24	1952	115184
25	2033	115280
26	2105	114863
27	2182	114717
28	2258	114581
29	2337	114531
30	2421	114754
31	2496	114512
32	2569	114245
33	2648	114201
34	2724	114041
35	2800	113881
36	2875	113690
37	2952	113606
38	3028	113451
39	3103	113269
40	3181	113224
41	3262	113270
42	3341	113230
43	3416	113060
44	3494	112973
45	3591	113526
46	3697	114302
47	3796	114843
48	3889	115191
49	3975	115301
50	4065	115506
51	4154	115678
52	4234	115611
53	4325	115822
54	4410	115862
55	4497	115977
56	4588	116162
57	4669	116086
58	4752	116084
59	4848	116358
60	4938	116505
61	5023	116506
62	5103	116409
63	5174	116109
64	5248	115868
65	5325	115705
66	5403	115561
67	5488	115588
68	5573	115588
69	5653	115483
70	5728	115291
71	5806	115171
72	5883	115017
73	5963	114908
74	6041	114779
75	6117	114628
76	6189	114388
77	6261	114160
78	6340	114053
79	6419	113949
80	6501	113899
81	6579	113780
82	6658	113683
83	6744	113685
84	6835	113794
85	6928	113923
86	7026	114114
87	7117	114205
88	7214	114371
89	7311	114546
90	7403	114639
91	7495	114707
92	7663	115944
93	7760	116077
94	7851	116126
95	7945	116209
96	8033	116190
97	8109	116018
98	8189	115889
99	8267	115751
100	8345	115601
101	8429	115536
102	8510	115429
103	8595	115374
104	8694	115510
105	8792	115634
106	8891	115754
107	8990	115880
108	9088	115976
109	9175	115939
110	9271	116019
111	9349	115866
112	9449	115986
113	9549	116096
114	9634	116038
115	9738	116189
116	9835	116259
117	9940	116419
118	10033	116434
119	10129	116487
120	10211	116374
121	10300	116344
122	10393	116353
123	10482	116321
124	10569	116264
125	10664	116292
126	10754	116265
127	10844	116239
128	10930	116166
129	11012	116049
130	11095	115955
131	11180	115865
132	11271	115853
133	11360	115807
134	11448	115757
135	11534	115683
136	11617	115580
137	11703	115503
138	11784	115388
139	11869	115304
140	11955	115233
141	12045	115193
142	12130	115109
143	12222	115094
144	12306	115001
145	12390	114910
146	12479	114859
147	12564	114777
148	12646	114667
149	12731	114586
150	12812	114467
151	12914	114528
152	13005	114498
153	13094	114445
154	13179	114367
155	13267	114306
156	13347	114174
157	13428	114054
158	13518	114011
159	13603	113930
160	13699	113939
161	13811	114075
162	13902	114038
163	13989	113959
164	14070	113846
165	14146	113679
166	14220	113504
167	14296	113348
168	14375	113220
169	14455	113089
170	14546	113053
171	14640	113035
172	14732	113002
173	14823	112966
174	14905	112855
175	14982	112707
176	15059	112559
177	15134	112405
178	15212	112268
179	15283	112076
180	15358	111925
181	15433	111764
182	15508	111612
183	15587	111487
184	15661	111326
185	15738	111187
186	15818	111064
187	15893	110917
188	15971	110785
189	16046	110639
190	16119	110470
191	16192	110309
192	16268	110170
193	16346	110041
194	16426	109928
